Hospital ID,Formal Name,Other Name,Emergency Capable,Location Address,Suburb,Postcode,Access Point,Category,Agency Type
"11504","St John of God Frankston Rehabilitation Hospital","St John of God Frankston Rehabilitation Hospital","NO","255 Cranbourne Road","Frankston","3199","","PRIVATE","Private Hospital"
"2437","St John of God Hospital Pinelodge Clinic, Dandenong","St John of God Hospital Pinelodge Clinic, Dandenong","NO","1480 Heatherton Road","Dandenong","3175","","PRIVATE","Private Hospital"
"2504","St John of God Hospital, Ballarat","St John of God Hospital, Ballarat","NO","101 Drummond Street North","Ballarat","3350","","PRIVATE","Private Hospital"
"2477","St John of God Hospital, Bendigo","St John of God Hospital, Bendigo","NO","133-145 Lily Street ","Bendigo","3550","","PRIVATE","Private Hospital"
"5550","St John of God Hospital, Berwick","St John of God Hospital, Berwick","NO","44 Gloucester Avenue ","Berwick","3806","","PRIVATE","Private Hospital"
"2503","St John of God Hospital, Geelong","St John of God Hospital, Geelong","NO","80 Myers Street","Geelong","3220","","PRIVATE","Private Hospital"
"2505","St John of God Hospital, Warrnambool","St John of God Hospital, Warrnambool","NO","136 Botanic Road","Warrnambool","3280","","PRIVATE","Private Hospital"
"12393","St Kilda Day Hospital","St Kilda Day Hospital","NO","26A Dickens Street","Elwood","3184","","PRIVATE","Day Procedure Centre"
"10694","St Vincent's Health","St Vincent's Health","NO","41 Victoria Parade","Fitzroy","3065","","PUBLIC","Denominational Hospital"
"3432","St Vincent's Hospital (Melbourne) Ltd","St Vincent's Hospital (Melbourne) Ltd","YES","41 Victoria Parade","Fitzroy","3065","","PUBLIC","Denominational Hospital"
"2469","St Vincent's Private Hospital East Melbourne","St Vincent's Private Hospital East Melbourne","NO","159 Grey Street","East Melbourne","3002","","PRIVATE","Private Hospital"
"5484","St Vincent's Private Hospital Fitzroy","St Vincent's Private Hospital Fitzroy","NO","59 Victoria Parade","Fitzroy","3065","","PRIVATE","Private Hospital"
"2561","St Vincent's Private Hospital Kew","St Vincent's Private Hospital Kew","NO","5 Studley Avenue","Kew","3101","","PRIVATE","Private Hospital"
"11481","Stonnington Day Surgery","Stonnington Day Surgery","NO","Level 1, 253 Wattletree Road","Malvern","3144","","PRIVATE","Day Procedure Centre"
"12992","Sunbury Day Hospital","Sunbury Day Hospital","NO","Macedon","Sunbury","3429","","PUBLIC","Public Hospital"
"10582","Sunshine Hospital","Sunshine Hospital","YES","176 Furlong Road","St Albans","3021","","PUBLIC","Public Hospital"
"11443","Sunshine Private Day Surgery","Sunshine Private Day Surgery","NO","145 Furlong Road","St Albans","3021","","PRIVATE","Day Procedure Centre"
"6739","Swan Hill District Health","Swan Hill District Health","YES","48 Splatt Street","Swan Hill","3585","","PUBLIC","Public Hospital"
"6748","Tallangatta Health Service","Tallangatta Health Service","NO","Barree Street","Tallangatta","3700","","PUBLIC","Public Hospital"
"10762","Tarietta Day Surgery","Tarietta Day Surgery","NO","73 Kooyong Road","Caulfield North","3161","","PRIVATE","Day Procedure Centre"
"3547","Terang and Mortlake Health Service","Terang and Mortlake Health Service","NO","1 Austin Avenue","Terang","3264","","PUBLIC","Public Hospital"
"10636","The Alfred","The Alfred","YES","Commercial Road ","Melbourne","3004","","PUBLIC","Public Hospital"
"2509","The Avenue Private Hospital","The Avenue Private Hospital","NO","40 The Avenue","Windsor","3181","","PRIVATE","Private Hospital"
"10865","The Bays Hospital","The Bays Hospital","NO","262-268 Main Street","Mornington","3931","","PRIVATE","Private Hospital"
"2453","The Bays Hospital - Hastings","The Bays Hospital - Hastings","NO","86 Victoria St","Hastings","3915","","PRIVATE","Private Hospital"
"2417","The Geelong Clinic","The Geelong Clinic","NO","98 Townsend Road","Whittington","3219","","PRIVATE","Private Hospital"
"11833","The Glen Endoscopy Centre","The Glen Endoscopy Centre","NO","302 Springvale Road","Glen Waverley","3150","","PRIVATE","Day Procedure Centre"
"12475","The Hampton Park Women's Health Care Centre","The Hampton Park Women's Health Care Centre","NO","2 Warana Drive","Hampton Park","3976","","PRIVATE","Day Procedure Centre"
"2510","The Melbourne Clinic ","The Melbourne Clinic ","NO","130 Church Street","Richmond","3121","","PRIVATE","Private Hospital"
"2478","The Melbourne Eastern Private Hospital","The Melbourne Eastern Private Hospital","NO","157 Scoresby Road","Boronia","3155","","PRIVATE","Private Hospital"
"10214","The Northern Hospital","The Northern Hospital","YES","185 Cooper Street ","Epping","3076","","PUBLIC","Public Hospital"
"3392","The Royal Children's Hospital","The Royal Children's Hospital","YES","50 Flemington Road","Parkville","3052","","PUBLIC","Public Hospital"
"3395","The Royal Victorian Eye and Ear Hospital","The Royal Victorian Eye and Ear Hospital","YES","32 Gisborne Street","East Melbourne","3002","","PUBLIC","Public Hospital"
"3394","The Royal Women's Hospital","The Royal Women's Hospital","YES","Levels 6 & 7 Cnr Grattan St & Flemington Rd","Parkville","3052","","PUBLIC","Public Hospital"
"2518","The Victoria Clinic","The Victoria Clinic","NO","324 Malvern Road","Prahran","3181","","PRIVATE","Private Hospital"
"5489","The Victorian Rehabilitation Centre","The Victorian Rehabilitation Centre","NO","499 Springvale Road","Glen Waverley","3150","","PRIVATE","Private Hospital"
"11306","The Women's Clinic Day Surgical Centre","The Women's Clinic Day Surgical Centre","NO","366 Church Street","Richmond","3121","","PRIVATE","Day Procedure Centre"
"3548","Timboon and District Healthcare Service","Timboon and District Healthcare Service","NO","21 Hospital Road","Timboon","3268","","PUBLIC","Multi Purpose Service"
"12267","Toorak Cosmetic Surgery Day Centre","Toorak Cosmetic Surgery Day Centre","NO","109 Mathoura Rd ","Toorak","3142","","PRIVATE","Day Procedure Centre"
"12326","Toorak-Malvern Day Surgery Centre","Toorak-Malvern Day Surgery Centre","NO","30-32 Glenferrie Road","Malvern","3144","","PRIVATE","Day Procedure Centre"
"2410","Tweddle Child and Family Health Service","Tweddle Child and Family Health Service","NO","53 Adelaide Street","Footscray","3011","","PUBLIC","Public Hospital"
"12471","Victoria Parade Surgery Centre","Victoria Parade Surgery Centre","NO","Level 1, 100 Victoria Parade","East Melbourne","3002","","PRIVATE","Day Procedure Centre"
"12552","Victorian Gut Centre Bundoora","Victorian Gut Centre Bundoora","NO","119 Plenty Road","Bundoora","3083","","PRIVATE","Day Procedure Centre"
"12642","Victorian Sleep Centre","Victorian Sleep Centre","NO","695-697 Rathdowne Street","Carlton North","3054","","PRIVATE","Private Hospital"
"2573","Vision Day Surgery Camberwell","Vision Day Surgery Camberwell","NO","27 Denmark Hill Road","Hawthorn East","3123","","PRIVATE","Day Procedure Centre"
"11672","Vision Day Surgery Eastern","Vision Day Surgery Eastern","NO","852-856 Whitehorse Road","Box Hill","3128","","PRIVATE","Day Procedure Centre"
"5476","Vision Day Surgery Footscray","Vision Day Surgery Footscray","NO","89 Paisley Street","Footscray","3011","","PRIVATE","Day Procedure Centre"
"12191","Vision Laser St Kilda Road","Vision Laser St Kilda Road","NO","Ground Floor, 600 St Kilda Rd","Melbourne","3000","","PRIVATE","Day Procedure Centre"
"5490","Wangaratta Private Hospital","Wangaratta Private Hospital","NO","134-150 Templeton Street","Wangaratta","3677","","PRIVATE","Private Hospital"
"12582","Wantirna Health","Wantirna Health","NO","251 Mountain Highway","Wantirna","3152","","PUBLIC","Public Hospital"
"2565","Warringal Private Hospital","Warringal Private Hospital","NO","216 Burgundy Street","Heidelberg","3084","","PRIVATE","Private Hospital"
"5491","Waverley Endoscopy Suites","Waverley Endoscopy Suites","NO","301 Blackburn Road","Mount Waverley","3149","","PRIVATE","Day Procedure Centre"
"2566","Waverley Private Hospital","Waverley Private Hospital","NO","343-357 Blackburn Road","Mount Waverley","3149","","PRIVATE","Private Hospital"
"3389","Werribee Mercy Hospital","Werribee Mercy Hospital","YES","300 Princes Highway","Werribee","3030","","PUBLIC","Denominational Hospital"
"6833","West Gippsland Healthcare Group","West Gippsland Healthcare Group","YES","41 Landsborough Street","Warragul","3820","","PUBLIC","Public Hospital"
"3592","West Wimmera Health Service","West Wimmera Health Service","NO","49 Nelson Street","Nhill","3418","","PUBLIC","Public Hospital"
"10567","Western District Health Service","Western District Health Service","YES","20 Foster Street","Hamilton","3300","","PUBLIC","Public Hospital"
"3500","Western District Health Service, Coleraine Campus","Western District Health Service, Coleraine Campus","NO","71 McLeod Street","Coleraine","3315","","PUBLIC","Public Hospital"
"5492","Western Gastroenterology Services","Western Gastroenterology Services","NO","30 Eleanor Street","Footscray","3011","","PRIVATE","Day Procedure Centre"
"11515","Western Health","Western Health","NO","160 Gordon Street","Footscray","3011","","PUBLIC","Public Hospital"
"10435","Western Health [Djerriwarrh Health Services]","Western Health [Djerriwarrh Health Services]","NO","Lot 4 Grant Street","Bacchus Marsh","3340","","PUBLIC","Public Hospital"
"10929","Western Private Hospital","Western Private Hospital","NO","1-9 Marion St ","Footscray","3011","","PRIVATE","Private Hospital"
"12502","Westpoint Endoscopy Day Hospital","Westpoint Endoscopy Day Hospital","NO","243 Heaths Road","Werribee","3030","","PRIVATE","Day Procedure Centre"
"3433","Williamstown Hospital","Williamstown Hospital","YES","77b Railway Crescent","Williamstown","3016","","PUBLIC","Public Hospital"
"5483","Windsor Private Hospital","Windsor Private Hospital","NO","20 The Avenue","Windsor","3181","","PRIVATE","Private Hospital"
"2569","Yackandandah Bush Nursing Hospital Inc.","Yackandandah Bush Nursing Hospital Inc.","NO","20 Isaacs Avenue","Yackandandah","3749","","PRIVATE","Bush Nursing Hospital"
"12581","Yarra Ranges Health","Yarra Ranges Health","NO","25 Market Street","Lilydale","3140","","PUBLIC","Public Hospital"
"3324","Yarram and District Health Service","Yarram and District Health Service","NO","85 Commercial Road","Yarram","3971","","PUBLIC","Public Hospital"
"11271","Yarrawonga Health","Yarrawonga Health","NO","33 Piper Street","Yarrawonga","3730","","PUBLIC","Public Hospital"
"3554","Yea and District Memorial Hospital","Yea and District Memorial Hospital","NO","45 Station Street","Yea","3717","","PUBLIC","Public Hospital"
